Name,Score,Actor,Year
活着,9.0,"
                主演：葛优,巩俐,牛犇（bēn）
        ",上映时间：1994-05-17(法国)
钢琴家,8.8,"
                主演：艾德里安·布洛迪,艾米莉娅·福克斯,米哈乌·热布罗夫斯基
        ",上映时间：2002-05-24(法国)
勇敢的心,8.8,"
                主演：梅尔·吉布森,苏菲·玛索,帕特里克·麦高汉
        ",上映时间：1995-05-18(美国)
阿飞正传,8.8,"
                主演：张国荣,张曼玉,刘德华
        ",上映时间：2018-06-25
射雕英雄传之东成西就,8.8,"
                主演：张国荣,梁朝伟,张学友
        ",上映时间：1993-02-05(中国香港)
爱·回家,9.0,"
                主演：俞承豪,金艺芬,童孝熙
        ",上映时间：2002-04-05(韩国)
初恋这件小事,8.8,"
                主演：马里奥·毛瑞尔,平采娜·乐维瑟派布恩,阿查拉那·阿瑞亚卫考
        ",上映时间：2012-06-05
泰坦尼克号,9.4,"
                主演：莱昂纳多·迪卡普里奥,凯特·温丝莱特,比利·赞恩
        ",上映时间：1998-04-03
迁徙的鸟,9.0,"
                主演：雅克·贝汉,Philippe Labro
        ",上映时间：2001-12-12(法国)
蝙蝠侠：黑暗骑士,9.3,"
                主演：克里斯蒂安·贝尔,希斯·莱杰,阿伦·伊克哈特
        ",上映时间：2008-07-14(阿根廷)
恐怖直播,8.8,"
                主演：河正宇,李璟荣,李大卫
        ",上映时间：2013-07-31(韩国)
我爱你,9.0,"
                主演：宋在浩,李顺才,尹秀晶
        ",上映时间：2011-02-17(韩国)
大闹天宫,9.0,"
                主演：邱岳峰,毕克,富润生
        ",上映时间：1965-12-31
剪刀手爱德华,8.8,"
                主演：约翰尼·德普,薇诺娜·瑞德,黛安娜·威斯特
        ",上映时间：1990-12-06(美国)
甜蜜蜜,9.2,"
                主演：黎明,张曼玉,杜可风
        ",上映时间：2015-02-13
闻香识女人,8.8,"
                主演：阿尔·帕西诺,克里斯·奥唐纳,加布里埃尔·安瓦尔
        ",上映时间：1992-12-23(美国)
英雄本色,9.2,"
                主演：狄龙,张国荣,周润发
        ",上映时间：2017-11-17
三傻大闹宝莱坞,9.1,"
                主演：阿米尔·汗,黄渤,卡琳娜·卡普
        ",上映时间：2011-12-08
黑客帝国3：矩阵革命,8.8,"
                主演：基努·里维斯,雨果·维文,凯瑞-安·莫斯
        ",上映时间：2003-11-05
触不可及,9.1,"
                主演：弗朗索瓦·克鲁塞,奥玛·希,安娜·勒尼
        ",上映时间：2011-11-02(法国)
Name,Score,Actor,Year
活着,9.0,"
                主演：葛优,巩俐,牛犇（bēn）
        ",上映时间：1994-05-17(法国)
钢琴家,8.8,"
                主演：艾德里安·布洛迪,艾米莉娅·福克斯,米哈乌·热布罗夫斯基
        ",上映时间：2002-05-24(法国)
勇敢的心,8.8,"
                主演：梅尔·吉布森,苏菲·玛索,帕特里克·麦高汉
        ",上映时间：1995-05-18(美国)
阿飞正传,8.8,"
                主演：张国荣,张曼玉,刘德华
        ",上映时间：2018-06-25
射雕英雄传之东成西就,8.8,"
                主演：张国荣,梁朝伟,张学友
        ",上映时间：1993-02-05(中国香港)
爱·回家,9.0,"
                主演：俞承豪,金艺芬,童孝熙
        ",上映时间：2002-04-05(韩国)
初恋这件小事,8.8,"
                主演：马里奥·毛瑞尔,平采娜·乐维瑟派布恩,阿查拉那·阿瑞亚卫考
        ",上映时间：2012-06-05
泰坦尼克号,9.4,"
                主演：莱昂纳多·迪卡普里奥,凯特·温丝莱特,比利·赞恩
        ",上映时间：1998-04-03
迁徙的鸟,9.0,"
                主演：雅克·贝汉,Philippe Labro
        ",上映时间：2001-12-12(法国)
蝙蝠侠：黑暗骑士,9.3,"
                主演：克里斯蒂安·贝尔,希斯·莱杰,阿伦·伊克哈特
        ",上映时间：2008-07-14(阿根廷)
Name,Score,Actor,Year
Name,Score,Actor,Year
Name,Score,Actor,Year
