Rank,Name,Actor,Year,Score,Country,ImgName
1,活着,"葛优,巩俐,牛犇（bēn）",1994/5/17,9,法国,1_活着.jpg
2,钢琴家,"艾德里安·布洛迪,艾米莉娅·福克斯,米哈乌·热布罗夫斯基",2002/5/24,8.8,法国,2_钢琴家.jpg
3,勇敢的心,"梅尔·吉布森,苏菲·玛索,帕特里克·麦高汉",1995/5/18,8.8,美国,3_勇敢的心.jpg
4,阿飞正传,"张国荣,张曼玉,刘德华",2018/6/25,8.8,,4_阿飞正传.jpg
5,射雕英雄传之东成西就,"张国荣,梁朝伟,张学友",1993/2/5,8.8,中国香港,5_射雕英雄传之东成西就.jpg
6,爱·回家,"俞承豪,金艺芬,童孝熙",2002/4/5,9,韩国,6_爱·回家.jpg
7,初恋这件小事,"马里奥·毛瑞尔,平采娜·乐维瑟派布恩,阿查拉那·阿瑞亚卫考",2012/6/5,8.8,,7_初恋这件小事.jpg
8,泰坦尼克号,"莱昂纳多·迪卡普里奥,凯特·温丝莱特,比利·赞恩",1998/4/3,9.4,,8_泰坦尼克号.jpg
9,迁徙的鸟,"雅克·贝汉,Philippe Labro",2001/12/12,9,法国,9_迁徙的鸟.jpg
10,蝙蝠侠：黑暗骑士,"克里斯蒂安·贝尔,希斯·莱杰,阿伦·伊克哈特",2008/7/14,9.3,阿根廷,10_蝙蝠侠：黑暗骑士.jpg
11,恐怖直播,"河正宇,李璟荣,李大卫",2013/7/31,8.8,韩国,11_恐怖直播.jpg
12,我爱你,"宋在浩,李顺才,尹秀晶",2011/2/17,9,韩国,12_我爱你.jpg
13,大闹天宫,"邱岳峰,毕克,富润生",1965/12/31,9,,13_大闹天宫.jpg
14,剪刀手爱德华,"约翰尼·德普,薇诺娜·瑞德,黛安娜·威斯特",1990/12/6,8.8,美国,14_剪刀手爱德华.jpg
15,甜蜜蜜,"黎明,张曼玉,杜可风",2015/2/13,9.2,,15_甜蜜蜜.jpg
16,闻香识女人,"阿尔·帕西诺,克里斯·奥唐纳,加布里埃尔·安瓦尔",1992/12/23,8.8,美国,16_闻香识女人.jpg
17,英雄本色,"狄龙,张国荣,周润发",2017/11/17,9.2,,17_英雄本色.jpg
18,三傻大闹宝莱坞,"阿米尔·汗,黄渤,卡琳娜·卡普",2011/12/8,9.1,,18_三傻大闹宝莱坞.jpg
19,黑客帝国3：矩阵革命,"基努·里维斯,雨果·维文,凯瑞-安·莫斯",2003/11/5,8.8,,19_黑客帝国3：矩阵革命.jpg
20,触不可及,"弗朗索瓦·克鲁塞,奥玛·希,安娜·勒尼",2011/11/2,9.1,法国,20_触不可及.jpg
21,忠犬八公物语,"仲代达矢,春川真澄,井川比佐志",1987/8/1,9,日本,21_忠犬八公物语.jpg
22,辩护人,"宋康昊,郭度沅,吴达洙",2013/12/18,8.8,韩国,22_辩护人.jpg
23,喜剧之王,"周星驰,莫文蔚,张柏芝",1999/2/13,9.1,中国香港,23_喜剧之王.jpg
24,黄金三镖客,"克林特·伊斯特伍德,李·范·克里夫,埃里·瓦拉赫",1966/12/23,8.9,意大利,24_黄金三镖客.jpg
25,这个杀手不太冷,"让·雷诺,加里·奥德曼,娜塔莉·波特曼",1994/9/14,9.4,法国,25_这个杀手不太冷.jpg
26,借东西的小人阿莉埃蒂,"志田未来,神木隆之介,大竹忍",2010/7/17,8.8,日本,26_借东西的小人阿莉埃蒂.jpg
27,大话西游之月光宝盒,"周星驰,莫文蔚,吴孟达",2014/10/24,9.6,,27_大话西游之月光宝盒.jpg
28,一一,"吴念真,金燕玲,李凯莉",2017/7/28,8.9,中国台湾,28_一一.jpg
29,窃听风暴,"乌尔里希·穆埃,塞巴斯蒂安·科赫,马蒂娜·格德克",2006/3/23,9,德国,29_窃听风暴.jpg
31,飞屋环游记,"爱德华·阿斯纳,乔丹·长井,鲍勃·彼德森",2009/8/4,8.9,,31_飞屋环游记.jpg
32,哈尔的移动城堡,"倍赏千惠子,木村拓哉,美轮明宏",2004/9/5,8.9,意大利,32_哈尔的移动城堡.jpg
33,上帝之城,"亚历桑德雷·罗德里格斯,艾莉丝·布拉加,莱安德鲁·菲尔米诺",2001/12/13,8.9,美国,33_上帝之城.jpg
34,美丽心灵,"罗素·克劳,詹妮弗·康纳利,艾德·哈里斯",1994/9/10,8.8,加拿大,34_美丽心灵.jpg
35,肖申克的救赎,"蒂姆·罗宾斯,摩根·弗里曼,鲍勃·冈顿",2020/1/3,9.5,,35_肖申克的救赎.jpg
36,美丽人生,"罗伯托·贝尼尼,尼可莱塔·布拉斯基,乔治·坎塔里尼",2011/4/30,9.3,,36_美丽人生.jpg
37,倩女幽魂,"张国荣,王祖贤,午马",1999/9/10,9.1,意大利,37_倩女幽魂.jpg
38,搏击俱乐部,"爱德华·哈里森·诺顿,布拉德·皮特,海伦娜·伯翰·卡特",1997/5/17,8.8,法国,38_搏击俱乐部.jpg
39,春光乍泄,"张国荣,梁朝伟,张震",2019/11/15,9.2,,39_春光乍泄.jpg
41,驯龙高手,"杰伊·巴鲁切尔,杰拉德·巴特勒,亚美莉卡·费雷拉",2010/5/14,9,,41_驯龙高手.jpg
