Name,Sex,Birthday,Country,Position,ImgUrl
"WERTZ, Brennan",M,13 May 1997,USA,Position: Bow,http://www.worldrowing.com/assets/images/ml/athletes/46136.jpg
"BEST, Justin",M,17 Aug 1997,USA,Position: Seat 2,http://www.worldrowing.com/assets/images/ml/athletes/47042.jpg
"CARLSON, Christopher",M,14 Mar 1997,USA,Position: Seat 3,http://www.worldrowing.com/assets/images/ml/athletes/49843.jpg
"LANDBOE, Arne",M,31 Jan 1996,USA,Position: Seat 4,http://www.worldrowing.com/assets/images/ml/athletes/48679.jpg
"MOLITOR, Madison",M,20 Mar 1997,USA,Position: Seat 5,http://www.worldrowing.com/assets/images/ml/athletes/51534.jpg
"HALBERT, Samuel",M,18 Jun 1997,USA,Position: Seat 6,http://www.worldrowing.com/assets/images/ml/athletes/51532.jpg
"GRADY, Michael",M,22 Oct 1996,USA,Position: Seat 7,http://www.worldrowing.com/assets/images/ml/athletes/44646.jpg
"GAARD, Andrew",M,29 Apr 1997,USA,Position: Stroke,http://www.worldrowing.com/assets/images/ml/athletes/46141.jpg
"MILNE, Rielly",M,31 May 1996,USA,Position: Cox,http://www.worldrowing.com/assets/images/ml/athletes/46851.jpg
"FREEMAN, Benjamin",M,15 Nov 1996,GBR,Position: Bow,http://www.worldrowing.com/assets/images/ml/athletes/51599.jpg
"KAY, Harvey",M,20 Nov 1997,GBR,Position: Seat 2,http://www.worldrowing.com/assets/images/ml/athletes/51884.jpg
"BEWICKE-COPLEY, David",M,21 Sep 1997,GBR,Position: Seat 3,http://www.worldrowing.com/assets/images/ml/athletes/48819.jpg
"DIGBY, Thomas",M,23 Jul 1998,GBR,Position: Seat 4,http://www.worldrowing.com/assets/images/ml/athletes/46158.jpg
"JENKINS, Leonard",M,24 Jan 1998,GBR,Position: Seat 5,http://www.worldrowing.com/assets/images/ml/athletes/46974.jpg
"ALDRIDGE, Matthew",M,11 Mar 1996,GBR,Position: Seat 6,http://www.worldrowing.com/assets/images/ml/athletes/46176.jpg
"STEWART, William  ",M,11 May 1997,GBR,Position: Seat 7,http://www.worldrowing.com/assets/images/ml/athletes/49918.jpg
"DAVIDSON, Freddie",M,26 May 1998,GBR,Position: Stroke,http://www.worldrowing.com/assets/images/ml/athletes/47107.jpg
"RAMAMBASON, Hugo",M,7 Aug 1996,GBR,Position: Cox,http://www.worldrowing.com/assets/images/ml/athletes/51882.jpg
"CHIOSEAUA, Alexandru",M,29 Sep 1997,ROU,Position: Bow,http://www.worldrowing.com/assets/images/ml/athletes/45299.jpg
"SEMCIUC, Mugurel Vasile",M,24 Jan 1998,ROU,Position: Seat 2,http://www.worldrowing.com/assets/images/ml/athletes/46364.jpg
"MATINCA, Alexandru",M,6 Sep 1997,ROU,Position: Seat 3,http://www.worldrowing.com/assets/images/ml/athletes/45311.jpg
"RADU, Constantin",M,26 Apr 1996,ROU,Position: Seat 4,http://www.worldrowing.com/assets/images/ml/athletes/45320.jpg
"ADAM, Constantin",M,12 Jul 1996,ROU,Position: Seat 5,http://www.worldrowing.com/assets/images/ml/athletes/45288.jpg
"BEJAN, Sergiu-Vasile",M,18 Nov 1996,ROU,Position: Seat 6,http://www.worldrowing.com/assets/images/ml/athletes/43928.jpg
"DEDU, Gheorghe-Robert",M,24 Apr 1996,ROU,Position: Seat 7,http://www.worldrowing.com/assets/images/ml/athletes/41879.jpg
"MACOVEI, Alexandru-Cosmin",M,25 Sep 1996,ROU,Position: Stroke,http://www.worldrowing.com/assets/images/ml/athletes/42866.jpg
"MUNTEANU, Adrian",M,13 Oct 1997,ROU,Position: Cox,http://www.worldrowing.com/assets/images/ml/athletes/44825.jpg
"SCHULTE-BOCKHOLT, Jacob",M,8 May 1996,GER,Position: Bow,http://www.worldrowing.com/assets/images/ml/athletes/45684.jpg
"SCHIRRMACHER, Janek",M,7 Oct 1996,GER,Position: Seat 2,http://www.worldrowing.com/assets/images/ml/athletes/45696.jpg
"ROGGENSACK, Olaf",M,29 May 1997,GER,Position: Seat 3,http://www.worldrowing.com/assets/images/ml/athletes/45685.jpg
"LEIBELT, Benjamin",M,12 May 1998,GER,Position: Seat 4,http://www.worldrowing.com/assets/images/ml/athletes/47102.jpg
"GEBEL, Jakob",M,12 Sep 1996,GER,Position: Seat 5,http://www.worldrowing.com/assets/images/ml/athletes/49788.jpg
"LESKE, Marc",M,13 Feb 1996,GER,Position: Seat 6,http://www.worldrowing.com/assets/images/ml/athletes/43853.jpg
"SCHROEDER, Wolf-Niclas",M,6 Sep 1996,GER,Position: Seat 7,http://www.worldrowing.com/assets/images/ml/athletes/43890.jpg
"GEBAUER, Paul",M,11 Mar 1996,GER,Position: Stroke,http://www.worldrowing.com/assets/images/ml/athletes/44774.jpg
"WIESEN, Jonas",M,18 Jul 1996,GER,Position: Cox,http://www.worldrowing.com/assets/images/ml/athletes/44138.jpg
"SZYMANOWSKI, Mathew",M,27 Jan 1996,CAN,Position: Bow,http://www.worldrowing.com/assets/images/ml/athletes/51806.jpg
"VAN GESSEL, Sean",M,2 May 1998,CAN,Position: Seat 2,http://www.worldrowing.com/assets/images/ml/athletes/48125.jpg
"GADSDON, Luke",M,5 May 1997,CAN,Position: Seat 2,http://www.worldrowing.com/assets/images/ml/athletes/51801.jpg
"TAVARES, Nicholas",M,27 Jan 1997,CAN,Position: Seat 3,http://www.worldrowing.com/assets/images/ml/athletes/45532.jpg
"BEBB, Alexander",M,22 Oct 1997,CAN,Position: Seat 4,http://www.worldrowing.com/assets/images/ml/athletes/51802.jpg
"STONE, Gavin",M,21 May 1997,CAN,Position: Seat 5,http://www.worldrowing.com/assets/images/ml/athletes/49642.jpg
"DE GROOT, Daniel",M,1 May 1996,CAN,Position: Seat 6,http://www.worldrowing.com/assets/images/ml/athletes/45559.jpg
"ROGERS, Elliot",M,21 Mar 1997,CAN,Position: Seat 7,http://www.worldrowing.com/assets/images/ml/athletes/45533.jpg
"VILK, Brett",M,5 May 1998,CAN,Position: Stroke,http://www.worldrowing.com/assets/images/ml/athletes/46609.jpg
"PRESCH, Skylar",M,24 Nov 1998,CAN,Position: Cox,http://www.worldrowing.com/assets/images/ml/athletes/51803.jpg
"MOERMAN, Joris ",M,22 Dec 1998,NED,Position: Bow,http://www.worldrowing.com/assets/images/ml/athletes/48019.jpg
"DIJKSTRA, Haye",M,11 May 1996,NED,Position: Seat 2,http://www.worldrowing.com/assets/images/ml/athletes/46213.jpg
"DE RUITER, Guido",M,16 Jun 1996,NED,Position: Seat 3,http://www.worldrowing.com/assets/images/ml/athletes/51814.jpg
"VAN DOORN, Gert-Jan",M,3 Feb 1999,NED,Position: Seat 4,http://www.worldrowing.com/assets/images/ml/athletes/46958.jpg
"FLORIJN, Finn",M,29 Nov 1999,NED,Position: Seat 5,http://www.worldrowing.com/assets/images/ml/athletes/51815.jpg
"VAN BROEKHUIZEN, Roel",M,18 Aug 1996,NED,Position: Seat 6,http://www.worldrowing.com/assets/images/ml/athletes/44355.jpg
"ROOVERS, Bart",M,14 Nov 1997,NED,Position: Seat 7,http://www.worldrowing.com/assets/images/ml/athletes/46956.jpg
"DE JONG, Jaap",M,17 Sep 1997,NED,Position: Stroke,http://www.worldrowing.com/assets/images/ml/athletes/46209.jpg
"KWEE, Bjorn",M,18 Dec 1997,NED,Position: Cox,http://www.worldrowing.com/assets/images/ml/athletes/49582.jpg
"KOHL, Nicholas",M,7 Oct 1998,ITA,Position: Bow,http://www.worldrowing.com/assets/images/ml/athletes/51749.jpg
"BARELLI, Andrea",M,7 Oct 1999,ITA,Position: Seat 2,http://www.worldrowing.com/assets/images/ml/athletes/51855.jpg
"VAGNELLI, Alessio",M,20 Feb 1997,ITA,Position: Seat 3,http://www.worldrowing.com/assets/images/ml/athletes/51856.jpg
"BERTONE, Jacopo",M,9 Jun 1999,ITA,Position: Seat 4,http://www.worldrowing.com/assets/images/ml/athletes/48138.jpg
"AGYEMANG-HEARD, Miles ",M,17 Aug 1997,ITA,Position: Seat 5,http://www.worldrowing.com/assets/images/ml/athletes/51745.jpg
"GAETANI LISEO, Emanuele",M,22 Nov 1996,ITA,Position: Seat 6,http://www.worldrowing.com/assets/images/ml/athletes/46743.jpg
"CARDELLA, Mirko",M,8 Apr 1997,ITA,Position: Seat 7,http://www.worldrowing.com/assets/images/ml/athletes/44704.jpg
